Complex,E2_gene_name,E3_gene_name,E2_uniprot,E3_uniprot,UB_I44_E2_distance(angstrom),Ub_Cterm_Cys_distance(angstrom),dG_AB,dG_AC,dG_BC,dSASA_AB,dSASA_AC,dSASA_BC,dSASA_hphobic_AB,dSASA_hphobic_AC,dSASA_hphobic_BC,dSASA_polar_AB,dSASA_polar_AC,dSASA_polar_BC,ipSAE_AB,ipSAE_AC,ipSAE_BC,linchpin,maxPAE_AB,maxPAE_AC,maxPAE_BC,meanPAE_AB,meanPAE_AC,meanPAE_BC,minPAE_AB,minPAE_AC,minPAE_BC,n_hbonds_AB,n_hbonds_AC,n_hbonds_BC,n_res_AB,n_res_AC,n_res_BC,pDockQ2_AB,pDockQ2_AC,pDockQ2_BC,pDockQ_AB,pDockQ_AC,pDockQ_BC,unsat_hbonds_AB,unsat_hbonds_AC,unsat_hbonds_BC,set_id,predicted_probability,predicted_label
UB-UBE2C-PELI1,UBE2C,PELI1,O00762,Q96FA3,7.357881546020508,4.103358268737793,-42.464,-59.091,-65.213,1707.72,2665.457,2622.925,870.809,1476.041,1326.188,836.911,1189.416,1296.736,0.768552,0.703266,0.722575,True,14.78,11.92,4.16,3.08,2.56,2.13,1.21,1.12,1.29,6.0,14.0,16.0,60.0,109.0,106.0,0.8021,0.7757,0.7478,0.5593,0.1771,0.1642,10.0,14.0,14.0,training-validation_set_nonpair,0.21878214,nonpair
UB-UBE2C-RNF146,UBE2C,RNF146,O00762,Q9NTX7,7.308163166046143,4.085322380065918,-44.546,-76.165,-67.425,1604.481,2797.771,2351.122,852.794,1519.611,1352.006,751.687,1278.16,999.116,0.761904,0.508912,0.587985,True,13.48,4.64,11.13,3.05,2.43,2.55,1.15,1.35,1.61,10.0,17.0,15.0,65.0,117.0,104.0,0.7944,0.7399,0.6947,0.5711,0.1175,0.1949,3.0,18.0,18.0,training-validation_set_nonpair,0.64696807,pair
UB-UBE2C-FANCL,UBE2C,FANCL,O00762,Q9NW38,7.338658809661865,4.341122150421143,-32.298,-53.871,-44.777,1866.886,2759.616,2591.04,1113.036,1591.355,1368.209,753.85,1168.261,1222.83,0.567208,0.387151,0.595599,False,22.73,5.48,7.84,5.09,3.54,3.0,1.88,2.12,1.64,5.0,13.0,12.0,79.0,122.0,107.0,0.4754,0.539,0.6242,0.4546,0.1505,0.1698,12.0,17.0,15.0,training-validation_set_nonpair,0.16383864,nonpair
UB-UBE2C-ANAPC11,UBE2C,ANAPC11,O00762,Q9NYG5,7.263387203216553,4.090866565704346,-52.975,-80.068,-70.64,2068.514,2878.379,2523.948,1110.735,1579.169,1320.919,957.779,1299.21,1203.029,0.811313,0.665948,0.755479,True,13.23,17.78,6.2,2.69,3.0,2.13,0.99,1.1,1.1,11.0,18.0,17.0,76.0,126.0,109.0,0.8417,0.7197,0.7957,0.5955,0.2077,0.272,4.0,10.0,10.0,training-validation_set_pair,0.7988621,pair
UB-UBE2C-BFAR,UBE2C,BFAR,O00762,Q9NZS9,7.379703044891357,4.145226955413818,-49.767,-79.841,-62.127,1900.34,3061.486,2388.939,978.455,1711.686,1340.208,921.885,1349.8,1048.731,0.784816,0.699656,0.787274,True,14.19,4.44,5.93,2.98,1.96,1.79,1.09,1.08,1.02,10.0,17.0,15.0,75.0,127.0,102.0,0.8137,0.8534,0.8768,0.5718,0.1164,0.3491,8.0,18.0,13.0,training-validation_set_nonpair,0.62331426,pair
UB-UBE2C-RNF7,UBE2C,RNF7,O00762,Q9UBF6,7.415342807769775,4.060252666473389,-47.937,-67.476,-56.642,1996.642,3020.623,2366.436,1085.672,1654.288,1229.027,910.97,1366.335,1137.409,0.773261,0.654523,0.755879,False,15.54,3.97,7.61,3.22,2.04,2.06,1.15,1.19,1.11,9.0,15.0,10.0,71.0,120.0,100.0,0.7836,0.7869,0.8268,0.5598,0.1688,0.3469,9.0,26.0,22.0,training-validation_set_pair,0.97295207,pair
UB-CDC34-SIAH2,CDC34,SIAH2,P49427,O43255,7.416919231414795,5.2296881675720215,-47.812,-81.498,-72.357,2234.493,4002.136,3149.514,1252.038,2305.217,1712.375,982.455,1696.92,1437.139,0.758767,0.569195,0.593596,True,27.3,3.99,27.81,6.64,2.19,9.06,1.25,1.34,1.98,8.0,17.0,19.0,85.0,163.0,132.0,0.3169,0.7292,0.1773,0.5169,0.1496,0.1277,15.0,35.0,30.0,training-validation_set_nonpair,0.010175967,nonpair
UB-CDC34-TRIM3,CDC34,TRIM3,P49427,O75382,7.402166843414307,5.040217399597168,-46.686,-77.857,-68.099,1817.487,3670.593,3192.607,1012.486,1968.663,1729.877,805.001,1701.93,1462.729,0.74704,0.577821,0.6436,True,25.73,23.14,17.02,6.26,3.48,4.48,1.31,1.27,1.46,8.0,18.0,18.0,75.0,152.0,131.0,0.3332,0.6013,0.4773,0.5255,0.1201,0.1482,11.0,28.0,30.0,training-validation_set_nonpair,0.008492274,nonpair
UB-CDC34-LTN1,CDC34,LTN1,P49427,O94822,7.280788421630859,5.319146156311035,-24.264,-35.131,-51.297,2166.678,3981.548,3179.989,1306.193,2058.256,1615.019,860.485,1923.292,1564.97,0.753221,0.469694,0.535761,True,27.05,5.16,22.53,6.53,2.51,6.25,1.28,1.6,1.99,3.0,10.0,9.0,77.0,158.0,133.0,0.2778,0.6479,0.2321,0.5056,0.1308,0.1664,18.0,47.0,42.0,training-validation_set_nonpair,0.011726218,nonpair
UB-CDC34-TRIM37,CDC34,TRIM37,P49427,O94972,7.36898136138916,5.428515911102295,-22.801,-44.865,-53.199,2260.568,3938.381,3260.679,1170.162,2160.993,1727.643,1090.406,1777.388,1533.036,0.765846,0.642658,0.664502,False,27.17,3.1,20.56,6.36,1.93,5.14,1.24,1.23,1.56,6.0,13.0,15.0,76.0,152.0,132.0,0.3396,0.7781,0.3995,0.5378,0.1521,0.1921,15.0,30.0,34.0,training-validation_set_nonpair,0.0057740374,nonpair
UB-CDC34-PCGF2,CDC34,PCGF2,P49427,P35227,7.234376907348633,5.30764627456665,-2.794,-23.743,-46.286,2469.053,4260.761,3236.667,1345.586,2293.388,1822.141,1123.467,1967.373,1414.526,0.638714,0.167615,0.259811,False,28.2,13.84,29.67,7.54,7.94,15.77,1.79,5.11,5.04,7.0,15.0,12.0,93.0,168.0,132.0,0.2024,0.1015,0.03,0.4341,0.0682,0.0753,14.0,30.0,23.0,training-validation_set_nonpair,0.005355866,nonpair
UB-CDC34-RBX1,CDC34,RBX1,P49427,P62877,7.305642127990723,4.491063117980957,-33.807,-76.245,-74.088,2591.631,4501.29,3579.85,1365.62,2431.932,1830.545,1226.01,2069.357,1749.305,0.808497,0.619657,0.738186,False,23.25,23.03,23.05,4.83,3.09,4.27,1.16,1.4,1.24,9.0,21.0,18.0,97.0,174.0,139.0,0.4756,0.5984,0.3987,0.5887,0.1638,0.2362,10.0,19.0,17.0,training-validation_set_pair,0.29536164,nonpair
UB-CDC34-RING1,CDC34,RING1,P49427,Q06587,7.41084623336792,5.373947620391846,-48.131,-76.058,-67.268,2486.599,4140.41,3257.661,1299.481,2099.089,1626.211,1187.118,2041.321,1631.45,0.732265,0.482954,0.641326,True,27.38,8.61,18.66,6.88,3.59,5.91,1.37,1.62,1.52,9.0,20.0,21.0,99.0,171.0,133.0,0.2934,0.5587,0.1826,0.4827,0.1421,0.1699,17.0,39.0,29.0,training-validation_set_nonpair,0.01868889,nonpair
UB-CDC34-TRAF2,CDC34,TRAF2,P49427,Q12933,7.077056407928467,5.012481689453125,-26.824,-77.941,-53.818,1516.02,4082.968,2740.607,646.952,2012.695,1380.133,869.068,2070.272,1360.474,0.745053,0.307746,0.585404,False,24.42,8.23,11.3,4.7,5.07,3.6,1.39,2.89,1.71,9.0,25.0,18.0,53.0,142.0,114.0,0.5303,0.4389,0.5724,0.5833,0.0252,0.2469,13.0,40.0,30.0,training-validation_set_nonpair,0.0797097,nonpair
UB-CDC34-BIRC2,CDC34,BIRC2,P49427,Q13490,7.257469654083252,5.82362699508667,-42.461,-41.21,-46.995,2652.406,3966.448,3778.964,1334.741,2182.472,1864.855,1317.664,1783.976,1914.108,0.742291,0.54171,0.513945,True,27.11,23.77,25.95,6.65,8.37,8.05,1.33,1.41,2.66,16.0,16.0,18.0,101.0,156.0,145.0,0.2354,0.1245,0.0903,0.4476,0.1121,0.0837,12.0,40.0,41.0,training-validation_set_nonpair,0.0041266815,nonpair
UB-CDC34-UBE4A,CDC34,UBE4A,P49427,Q14139,7.274287700653076,5.932527542114258,-28.488,-39.854,-34.347,2078.021,4056.312,3172.125,1197.231,2205.801,1668.071,880.79,1850.511,1504.054,0.764057,0.477288,0.640963,True,27.09,4.42,18.44,6.02,3.03,4.87,1.23,2.11,1.29,3.0,14.0,13.0,77.0,160.0,128.0,0.3159,0.5694,0.2771,0.5202,0.0614,0.1423,8.0,28.0,26.0,training-validation_set_nonpair,0.0039413255,nonpair
UB-CDC34-TRIM25,CDC34,TRIM25,P49427,Q14258,7.446046352386475,5.413463115692139,-45.912,-76.176,-69.706,2168.338,3864.736,3316.645,1122.642,2051.599,1549.243,1045.696,1813.137,1767.403,0.783351,0.637033,0.724275,True,26.55,16.7,24.25,6.0,3.02,5.09,1.18,1.1,1.24,7.0,18.0,21.0,85.0,158.0,129.0,0.3699,0.6755,0.4164,0.5478,0.1795,0.2287,10.0,19.0,19.0,training-validation_set_nonpair,0.04314322,nonpair
UB-CDC34-TRIM72,CDC34,TRIM72,P49427,Q6ZMU5,7.419037342071533,6.943629264831543,-32.608,-58.722,-53.207,1787.048,3520.937,3128.168,1078.917,2030.529,1649.286,708.132,1490.408,1478.882,0.758962,0.538015,0.606619,False,27.77,12.56,28.25,6.64,3.0,7.5,1.26,1.37,1.58,2.0,12.0,12.0,85.0,156.0,132.0,0.3056,0.6445,0.1952,0.4925,0.1446,0.1251,2.0,28.0,28.0,training-validation_set_nonpair,0.0012089987,nonpair
UB-CDC34-PIAS4,CDC34,PIAS4,P49427,Q8N2W9,7.298248291015625,5.868192195892334,-21.531,-50.759,-61.319,2745.043,4134.36,3558.443,1549.817,2417.299,1968.607,1195.226,1717.062,1589.836,0.726781,0.521988,0.542842,False,27.67,23.58,20.88,6.87,4.48,6.79,1.37,2.05,2.64,5.0,13.0,14.0,106.0,165.0,147.0,0.2648,0.2843,0.1894,0.4731,0.1412,0.1306,12.0,31.0,34.0,training-validation_set_nonpair,0.005684883,nonpair
UB-CDC34-RNF10,CDC34,RNF10,P49427,Q8N5U6,7.439371109008789,6.925693511962891,-42.793,-71.673,-66.483,1536.931,3400.081,3030.656,952.135,1994.104,1581.495,584.796,1405.977,1449.16,0.763586,0.439124,0.61111,False,27.75,7.11,10.35,6.18,2.95,2.91,1.22,1.54,1.5,6.0,12.0,16.0,62.0,145.0,127.0,0.389,0.6721,0.4038,0.526,0.0889,0.1645,2.0,21.0,20.0,training-validation_set_nonpair,0.009225675,nonpair
UB-CDC34-ZNRF2,CDC34,ZNRF2,P49427,Q8NHG8,7.250466346740723,4.76232385635376,-29.997,-72.086,-56.831,1773.064,4045.935,3101.554,1073.03,2262.144,1611.912,700.034,1783.792,1489.642,0.765255,0.362829,0.614833,False,24.06,4.05,13.52,5.54,3.26,4.26,1.3,2.56,1.51,5.0,15.0,14.0,73.0,159.0,126.0,0.3619,0.4135,0.4939,0.5486,0.0364,0.2025,5.0,24.0,24.0,training-validation_set_nonpair,0.021415176,nonpair
UB-CDC34-COP1,CDC34,COP1,P49427,Q8NHY2,7.384017467498779,6.537430763244629,-43.394,-53.141,-55.984,2056.247,3781.264,3197.062,1116.405,2095.512,1753.829,939.842,1685.752,1443.232,0.734742,0.484901,0.575997,False,27.28,4.59,19.84,6.68,2.86,5.57,1.41,1.46,1.82,7.0,14.0,15.0,82.0,156.0,129.0,0.3253,0.5832,0.2878,0.526,0.1276,0.1942,5.0,32.0,30.0,training-validation_set_nonpair,0.009235857,nonpair
UB-CDC34-LNX1,CDC34,LNX1,P49427,Q8TBB1,7.251789093017578,4.897684574127197,-52.441,-69.251,-53.457,2792.251,4629.033,3308.788,1569.905,2455.29,1557.826,1222.346,2173.744,1750.963,0.760389,0.563985,0.686411,True,27.44,4.92,26.92,6.12,2.85,6.94,1.31,1.81,1.38,8.0,16.0,16.0,99.0,174.0,130.0,0.3527,0.6343,0.4577,0.5132,0.0934,0.3273,25.0,49.0,42.0,training-validation_set_nonpair,0.072744586,nonpair
UB-CDC34-MYLIP,CDC34,MYLIP,P49427,Q8WY64,7.395308494567871,5.336374282836914,-32.556,-56.821,-62.944,1906.752,3714.578,2972.079,1051.637,2006.03,1625.035,855.115,1708.548,1347.045,0.760511,0.601967,0.612067,False,27.25,4.5,21.92,6.2,2.17,4.61,1.23,1.29,1.85,8.0,17.0,15.0,77.0,151.0,123.0,0.3513,0.7259,0.4242,0.5057,0.094,0.1656,8.0,25.0,24.0,training-validation_set_nonpair,0.0017294316,nonpair
UB-CDC34-RCHY1,CDC34,RCHY1,P49427,Q96PM5,7.444435596466064,7.763892650604248,-43.054,-66.796,-74.913,2637.082,4016.062,3600.391,1414.896,2242.286,1893.18,1222.186,1773.776,1707.211,0.709523,0.483007,0.533097,False,27.88,7.21,29.23,6.77,3.26,8.39,1.39,1.6,2.12,8.0,17.0,17.0,95.0,159.0,141.0,0.3019,0.6145,0.1808,0.5026,0.2017,0.1414,12.0,26.0,36.0,training-validation_set_nonpair,0.0044050855,nonpair
UB-CDC34-TRIM62,CDC34,TRIM62,P49427,Q9BVG3,7.367397785186768,5.632477283477783,-36.313,-55.718,-53.191,2386.172,3988.26,3305.905,1204.936,2131.656,1697.465,1181.236,1856.604,1608.44,0.765482,0.545188,0.668729,True,27.8,24.3,27.81,6.5,4.51,9.47,1.26,1.37,1.47,7.0,15.0,14.0,94.0,160.0,130.0,0.3366,0.5372,0.1649,0.5266,0.1478,0.1935,16.0,35.0,31.0,training-validation_set_nonpair,0.0025142303,nonpair
UB-CDC34-MARCHF7,CDC34,MARCHF7,P49427,Q9H992,7.32014799118042,5.053094387054443,-42.731,-73.667,-62.162,2228.636,4022.709,3438.201,1327.988,2262.263,1770.838,900.649,1760.446,1667.363,0.79036,0.56642,0.720925,False,24.78,4.09,15.05,5.41,2.34,4.11,1.13,1.62,1.17,8.0,16.0,18.0,87.0,159.0,131.0,0.4196,0.6982,0.5839,0.5805,0.2855,0.3346,8.0,31.0,31.0,training-validation_set_nonpair,0.101347335,nonpair
UB-CDC34-RLIM,CDC34,RLIM,P49427,Q9NVW2,7.30142068862915,4.96189022064209,-40.552,-57.697,-52.591,2010.866,3856.956,3251.053,1174.72,2111.443,1653.754,836.146,1745.513,1597.299,0.772923,0.585371,0.664766,True,27.16,4.11,16.47,5.98,2.22,3.35,1.23,1.37,1.37,4.0,10.0,14.0,78.0,156.0,131.0,0.3482,0.6696,0.5534,0.5249,0.1126,0.2252,15.0,37.0,35.0,training-validation_set_nonpair,0.009765969,nonpair
UB-CDC34-FANCL,CDC34,FANCL,P49427,Q9NW38,7.349478244781494,6.385105133056641,-42.566,-78.835,-63.187,2277.816,3809.257,3347.564,1292.564,2342.063,1776.706,985.252,1467.194,1570.858,0.748486,0.48845,0.605163,False,27.56,4.83,21.95,6.71,3.02,5.6,1.28,1.84,1.53,5.0,17.0,16.0,93.0,163.0,135.0,0.2866,0.5781,0.2761,0.4885,0.1845,0.1835,14.0,27.0,24.0,training-validation_set_nonpair,0.005481146,nonpair
UB-CDC34-RNF7,CDC34,RNF7,P49427,Q9UBF6,7.311341285705566,5.363234043121338,-40.207,-51.766,-49.116,2256.828,4087.154,3201.871,1253.98,2206.514,1707.477,1002.849,1880.64,1494.395,0.781487,0.632769,0.712557,False,27.27,3.64,22.06,5.83,2.02,5.36,1.17,1.23,1.26,5.0,9.0,10.0,86.0,161.0,133.0,0.3099,0.672,0.4695,0.5388,0.1743,0.2735,10.0,38.0,32.0,training-validation_set_pair,0.032425933,nonpair
UB-CDC34-MID2,CDC34,MID2,P49427,Q9UJV3,7.42906379699707,5.0828142166137695,-31.604,-60.123,-56.954,2409.412,4128.623,3211.161,1389.874,2357.1,1700.891,1019.538,1771.523,1510.27,0.739038,0.530137,0.571286,False,26.89,10.57,27.38,6.18,3.07,8.53,1.4,1.46,1.76,6.0,16.0,18.0,98.0,167.0,130.0,0.3289,0.6564,0.1424,0.5032,0.1571,0.1712,14.0,32.0,26.0,training-validation_set_nonpair,0.0067358306,nonpair
UB-CDC34-RNF115,CDC34,RNF115,P49427,Q9Y4L5,7.395761966705322,4.790566921234131,-43.14,-74.373,-65.123,2061.211,3733.585,3390.951,1203.536,2000.982,1723.569,857.675,1732.603,1667.382,0.763243,0.573501,0.683815,True,27.42,7.15,15.34,6.28,3.11,3.15,1.26,1.45,1.24,7.0,18.0,19.0,77.0,151.0,130.0,0.305,0.5865,0.5684,0.5112,0.1237,0.2125,13.0,29.0,25.0,training-validation_set_nonpair,0.005917943,nonpair
UB-UBE2A-RNF40,UBE2A,RNF40,P49459,O75150,8.09943962097168,4.864875316619873,261.173,213.659,-49.99,2022.274,3937.384,2009.266,1377.459,2289.564,1010.912,644.816,1647.819,998.353,0.026085,0.0,0.013295,False,23.34,20.02,27.86,14.09,18.63,15.14,5.85,17.34,9.2,6.0,17.0,11.0,72.0,137.0,80.0,0.0307,0.0125,0.024,0.3729,0.0187,0.1285,9.0,27.0,18.0,training-validation_set_pair,0.02495539,nonpair
UB-UBE2A-MDM2,UBE2A,MDM2,P49459,Q00987,7.2445478439331055,4.784955978393555,-34.271,-66.51,-60.092,1660.984,2781.272,2497.297,838.893,1352.872,1297.131,822.091,1428.4,1200.166,0.806068,0.69381,0.75533,False,14.22,4.36,2.76,2.99,2.14,1.66,1.02,1.16,1.15,11.0,20.0,15.0,67.0,114.0,105.0,0.8244,0.8279,0.877,0.6047,0.1451,0.2435,6.0,12.0,13.0,training-validation_set_pair,0.013126514,nonpair
UB-UBE2A-TRAF2,UBE2A,TRAF2,P49459,Q12933,7.7589216232299805,4.59562349319458,14.743,-18.544,-30.019,1326.721,2900.837,2239.94,629.849,1541.974,1157.521,696.871,1358.863,1082.42,0.023266,0.0,0.0,False,22.36,24.64,24.88,14.82,23.38,20.89,5.99,22.12,15.59,7.0,15.0,12.0,59.0,115.0,86.0,0.0262,0.0099,0.0117,0.2459,0.0246,0.1273,9.0,21.0,12.0,training-validation_set_nonpair,0.2769403,nonpair
UB-UBE2A-MAP3K1,UBE2A,MAP3K1,P49459,Q13233,8.482389450073242,5.581814765930176,10.883,-11.831,-5.118,2824.849,3322.092,2792.449,1358.034,1617.026,1499.791,1466.815,1705.066,1292.658,0.011024,0.0,0.0,False,24.72,28.56,25.88,17.86,25.76,23.26,10.23,22.16,19.91,9.0,11.0,10.0,103.0,121.0,104.0,0.0144,0.0098,0.011,0.1817,0.0962,0.2056,18.0,22.0,12.0,training-validation_set_nonpair,0.1020728,nonpair
UB-UBE2A-RNF20,UBE2A,RNF20,P49459,Q5VTR2,8.281899452209473,4.85532283782959,-10.007,-35.604,-26.553,1296.204,3066.142,2120.169,613.539,1512.284,1087.564,682.665,1553.857,1032.606,0.030412,0.013537,0.358125,False,22.31,15.3,6.4,13.87,14.22,4.04,5.19,13.16,2.62,4.0,10.0,6.0,56.0,110.0,82.0,0.0394,0.019,0.4846,0.3713,0.0263,0.1927,4.0,20.0,16.0,training-validation_set_pair,0.44611537,pair
UB-UBE2A-UBR3,UBE2A,UBR3,P49459,Q6ZT12,7.256070613861084,4.577911853790283,-44.424,-62.93,-62.326,1902.919,2900.366,2714.569,884.918,1306.94,1324.651,1018.001,1593.426,1389.918,0.734102,0.742376,0.74325,False,20.19,19.81,25.8,3.96,3.34,3.06,1.32,1.29,1.29,14.0,21.0,15.0,78.0,115.0,113.0,0.7139,0.574,0.7588,0.5579,0.1586,0.2234,5.0,12.0,15.0,training-validation_set_pair,0.6841952,pair
UB-UBE2A-UBR1,UBE2A,UBR1,P49459,Q8IWV7,7.3305583000183105,4.7350945472717285,-36.001,-55.521,-55.146,2336.588,3008.812,2962.42,1039.317,1363.297,1521.149,1297.27,1645.515,1441.271,0.678524,0.710295,0.763159,False,19.47,6.14,3.51,4.5,2.98,1.95,1.42,1.64,1.26,15.0,19.0,12.0,83.0,117.0,115.0,0.6016,0.5758,0.807,0.5053,0.228,0.2388,9.0,13.0,17.0,training-validation_set_pair,0.80281097,pair
UB-UBE2A-UBR2,UBE2A,UBR2,P49459,Q8IWV8,7.338368892669678,5.083348751068115,-31.258,-62.356,-47.139,2163.581,2931.478,2728.26,977.621,1314.208,1444.872,1185.96,1617.27,1283.388,0.631947,0.617456,0.714303,False,21.14,7.29,3.7,4.77,3.98,2.16,1.68,2.15,1.42,14.0,18.0,10.0,80.0,115.0,116.0,0.5883,0.4486,0.7803,0.5115,0.1685,0.2111,17.0,18.0,25.0,training-validation_set_pair,0.43198133,nonpair
UB-UBE2A-RNF138,UBE2A,RNF138,P49459,Q8WVD3,7.350825786590576,4.751288890838623,-44.777,-67.319,-58.329,2172.051,3358.915,2511.072,1018.038,1570.534,1264.828,1154.014,1788.381,1246.244,0.794199,0.680407,0.770285,False,19.02,6.68,19.98,3.15,2.25,3.48,1.07,1.17,1.07,10.0,22.0,14.0,81.0,125.0,107.0,0.8022,0.7692,0.7254,0.5975,0.2068,0.3593,15.0,19.0,15.0,training-validation_set_nonpair,0.48331296,pair
UB-UBE2A-RNF185,UBE2A,RNF185,P49459,Q96GF1,7.371840953826904,4.762874126434326,-23.065,-47.849,-35.159,1678.988,3063.543,2330.206,812.212,1449.592,1203.139,866.777,1613.951,1127.067,0.517178,0.34547,0.688172,False,24.44,7.81,5.93,5.9,3.88,2.01,2.11,2.55,1.19,7.0,17.0,10.0,62.0,112.0,97.0,0.4403,0.416,0.7766,0.4487,0.0633,0.1891,8.0,17.0,17.0,training-validation_set_nonpair,0.0679222,nonpair
