PDB_ID,E2_UniProtIDs,E3_UniProtIDs,Ub_UniProtIDs,Number_of_Distinct_Protein_Entities,Resolution_Method,Refinement_Resolution,Release_Date,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,E2_Gene_Names,E3_Gene_Names,ubiquitin_in_structure
8IEJ,P49459,"O75150, Q5VTR2",,10.0,EM: FSC 0.143 CUT-OFF,3.12,2/15/2023,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens,"1:H2AC4, H2AFM, HIST1H2AB, H2AC8, H2AFA, HIST1H2AE|2:H2BC12, H2BFT, HIRIP1, HIST1H2BK|3:H3C1, H3FA, HIST1H3A, H3C2, H3FL, HIST1H3B, H3C3, H3FC HIST1H3C, H3C4, H3FB, HIST1H3D, H3C6, H3FD, HIST1H3E, H3C7, H3FI, HIST1H3F, H3C8, H3FH, HIST1H3G, H3C10, H3FK, HIST1H3H, H3C11, H3FF, HIST1H3I, H3C12, H3FJ, HIST1H3J|4:H4C1, H4/A, H4FA, HIST1H4A, H4C2, H4/I, H4FI, HIST1H4B, H4C3, H4/G, H4FG, HIST1H4C, H4C4, H4/B, H4FB, HIST1H4D, H4C5, H4/J, H4FJ, HIST1H4E, H4C6, H4/C, H4FC, HIST1H4F, H4C8, H4/H, H4FH, HIST1H4H, H4C9, H4/M, H4FM, HIST1H4I, H4C11, H4/E, H4FE, HIST1H4J, H4C12, H4/D, H4FD, HIST1H4K, H4C13, H4/K, H4FK, HIST1H4L, H4C14, H4/N, H4F2, H4FN, HIST2H4, HIST2H4A, H4C15, H4/O, H4FO, HIST2H4B, H4C16, H4-16, HIST4H4|5:H2BC12, H2BFT, HIRIP1, HIST1H2BK|8:RNF40, BRE1B, KIAA0661|9:RNF20, BRE1A|10:UBE2A, RAD6A",1:Histone H2A type 1-B/E|2:Histone H2B type 1-K|3:Histone H3.1|4:Histone H4|5:Histone H2B type 1-K|6:DNA (147-MER)|7:DNA (147-MER)|8:E3 ubiquitin-protein ligase BRE1B|9:E3 ubiquitin-protein ligase BRE1A|10:Ubiquitin-conjugating enzyme E2 A,1:P04908|2:O60814|3:P68431|4:P62805|5:O60814|8:O75150|9:Q5VTR2|10:P49459,8:2.3.2.27|9:2.3.2.27|10:2.3.2.23,UBE2A,"RNF40,RNF20",No
1JAS,P63146,,,1.0,,,5/31/2001,,1,1:Homo sapiens,,1:UBIQUITIN-CONJUGATING ENZYME E2-17 KDA,1:P63146,1:6.3.2.19,UBE2B,,No
2YB6,P63146,,,1.0,X-ray refinement,1.5,3/2/2011,"BETA-MERCAPTOETHANOL,CHLORIDE ION",1,1:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 B,1:P63146,,UBE2B,,No
2YBF,P63146,Q9NS91,,2.0,X-ray refinement,2.0,3/8/2011,"BETA-MERCAPTOETHANOL,SODIUM ION,SULFATE ION","1, 2",1:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 B|2:E3 UBIQUITIN-PROTEIN LIGASE RAD18,1:P63146|2:Q9NS91,1:6.3.2.19|2:6.3.2.-,UBE2B,RAD18,No
1I7K,O00762,,,1.0,X-ray refinement,1.95,3/9/2001,,1,1:Homo sapiens,1:UBCH10,1:UBIQUITIN-CONJUGATING ENZYME E2 H10,1:O00762,1:6.3.2.19,UBE2C,,No
4YII,O00762,,,2.0,X-ray refinement,1.804,3/2/2015,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2C, UBCH10|2:ANAPC2, APC2, KIAA1406",1:Ubiquitin-conjugating enzyme E2 C|2:Anaphase-promoting complex subunit 2,1:O00762|2:Q9UJX6,1:6.3.2.19,UBE2C,,No
8E2K,Q9NR09,,,2.0,EM: FSC 0.143 CUT-OFF,3.21,8/15/2022,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:BIRC6, KIAA1289|2:HTRA2, OMI, PRSS25","1:Baculoviral IAP repeat-containing protein 6|2:Serine protease HTRA2, mitochondrial",1:Q9NR09|2:O43464,1:6.-.-.-|2:3.4.21.108,BIRC6,,No
2Y4W,P63146,,,1.0,,,1/11/2011,,1,1:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 B,1:P63146,1:6.3.2.19,UBE2B,,No
5KHR,O00762,Q9NYG5,,16.0,EM: FSC 0.143 CUT-OFF,6.1,6/15/2016,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|16:Homo sapiens,"1:ANAPC1, TSG24|2:ANAPC11, HSPC214|3:CDC23, ANAPC8|4:ANAPC16, C10orf104, CENP-27|5:CDC27, ANAPC3, D0S1430E, D17S978E|6:CDC26, ANAPC12, C9orf17|7:ANAPC4, APC4|8:CDC16, ANAPC6|9:ANAPC10, APC10|10:ANAPC13|11:ANAPC2, APC2, KIAA1406|12:ANAPC5, APC5|13:UBE2C, UBCH10|14:CDC20|16:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:Anaphase-promoting complex subunit 11|3:Cell division cycle protein 23 homolog|4:Anaphase-promoting complex subunit 16|5:Cell division cycle protein 27 homolog|6:Anaphase-promoting complex subunit CDC26|7:Anaphase-promoting complex subunit 4|8:Cell division cycle protein 16 homolog|9:Anaphase-promoting complex subunit 10|10:Anaphase-promoting complex subunit 13|11:Anaphase-promoting complex subunit 2|12:Anaphase-promoting complex subunit 5|13:Ubiquitin-conjugating enzyme E2 C|14:Cell division cycle protein 20 homolog|15:HSL1 peptide|16:Anaphase-promoting complex subunit 7,1:Q9H1A4|2:Q9NYG5|3:Q9UJX2|4:Q96DE5|5:P30260|6:Q8NHZ8|7:Q9UJX5|8:Q13042|9:Q9UM13|10:Q9BS18|11:Q9UJX6|12:Q9UJX4|13:O00762|14:Q12834|16:Q9UJX3,"13:2.3.2.23,2.3.2.24",UBE2C,ANAPC11,No
9N9R,O00762,Q9NYG5,,16.0,X-ray refinement,3.9,2/11/2025,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|15:Homo sapiens|16:Homo sapiens,"1:ANAPC1|2:ANAPC11, HSPC214|3:ANAPC15|4:CDC26, ANAPC12, C9orf17|5:ANAPC16, C10orf104, CENP-27|6:ANAPC4, APC4|7:CDC27, ANAPC3, D0S1430E, D17S978E|8:CDC16, ANAPC6|9:ANAPC10, APC10|10:ANAPC13|11:ANAPC2, APC2, KIAA1406|12:ANAPC5, APC5|13:UBE2C|14:CDC20|15:CDC23, ANAPC8|16:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:Anaphase-promoting complex subunit 11|3:Anaphase-promoting complex subunit 15|4:Anaphase-promoting complex subunit CDC26|5:Anaphase-promoting complex subunit 16|6:Anaphase-promoting complex subunit 4|7:Cell division cycle protein 27 homolog|8:Cell division cycle protein 16 homolog|9:Anaphase-promoting complex subunit 10|10:Anaphase-promoting complex subunit 13|11:Anaphase-promoting complex subunit 2|12:Anaphase-promoting complex subunit 5|13:Ubiquitin-conjugating enzyme E2 C|14:Cell division cycle protein 20 homolog|15:Cell division cycle protein 23 homolog|16:Anaphase-promoting complex subunit 7,1:Q9H1A4|2:Q9NYG5|3:P60006|4:Q8NHZ8|5:Q96DE5|6:Q9UJX5|7:P30260|8:Q13042|9:Q9UM13|10:Q9BS18|11:Q9UJX6|12:Q9UJX4|13:O00762|14:Q12834|15:Q9UJX2|16:Q9UJX3,,UBE2C,ANAPC11,No
9N9S,O00762,Q9NYG5,,16.0,X-ray refinement,3.9,2/11/2025,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|15:Homo sapiens|16:Homo sapiens,"1:ANAPC1|2:ANAPC11, HSPC214|3:ANAPC15|4:CDC26, ANAPC12, C9orf17|5:ANAPC16, C10orf104, CENP-27|6:ANAPC4, APC4|7:CDC27, ANAPC3, D0S1430E, D17S978E|8:CDC16, ANAPC6|9:ANAPC10, APC10|10:ANAPC13|11:ANAPC2, APC2, KIAA1406|12:ANAPC5, APC5|13:UBE2C|14:CDC20|15:CDC23, ANAPC8|16:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:Anaphase-promoting complex subunit 11|3:Anaphase-promoting complex subunit 15|4:Anaphase-promoting complex subunit CDC26|5:Anaphase-promoting complex subunit 16|6:Anaphase-promoting complex subunit 4|7:Cell division cycle protein 27 homolog|8:Cell division cycle protein 16 homolog|9:Anaphase-promoting complex subunit 10|10:Anaphase-promoting complex subunit 13|11:Anaphase-promoting complex subunit 2|12:Anaphase-promoting complex subunit 5|13:Ubiquitin-conjugating enzyme E2 C|14:Cell division cycle protein 20 homolog|15:Cell division cycle protein 23 homolog|16:Anaphase-promoting complex subunit 7,1:Q9H1A4|2:Q9NYG5|3:P60006|4:Q8NHZ8|5:Q96DE5|6:Q9UJX5|7:P30260|8:Q13042|9:Q9UM13|10:Q9BS18|11:Q9UJX6|12:Q9UJX4|13:O00762|14:Q12834|15:Q9UJX2|16:Q9UJX3,,UBE2C,ANAPC11,No
5A31,O00762,Q9NYG5,,20.0,X-ray refinement,4.3,5/26/2015,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",1:HOMO SAPIENS|2:HOMO SAPIENS|3:HOMO SAPIENS|4:HOMO SAPIENS|5:HOMO SAPIENS|6:HOMO SAPIENS|7:HOMO SAPIENS|8:HOMO SAPIENS|9:HOMO SAPIENS|10:HOMO SAPIENS|11:HOMO SAPIENS|12:HOMO SAPIENS|13:HOMO SAPIENS|14:HOMO SAPIENS|15:HOMO SAPIENS|16:HOMO SAPIENS|17:HOMO SAPIENS|18:HOMO SAPIENS|19:HOMO SAPIENS|20:HOMO SAPIENS,,"1:ANAPHASE-PROMOTING COMPLEX SUBUNIT 1|2:ANAPHASE-PROMOTING COMPLEX SUBUNIT 11|3:CELL DIVISION CYCLE PROTEIN 23 HOMOLOG|4:ANAPHASE-PROMOTING COMPLEX SUBUNIT 15|5:ANAPHASE-PROMOTING COMPLEX SUBUNIT 16|6:ANAPHASE-PROMOTING COMPLEX SUBUNIT 3|7:ANAPHASE-PROMOTING COMPLEX SUBUNIT CDC26|8:ANAPHASE-PROMOTING COMPLEX SUBUNIT 4|9:ANAPHASE-PROMOTING COMPLEX SUBUNIT 6|10:ANAPHASE-PROMOTING COMPLEX SUBUNIT 6|11:ANAPHASE-PROMOTING COMPLEX SUBUNIT 10|12:ANAPHASE-PROMOTING COMPLEX SUBUNIT 13|13:ANAPHASE-PROMOTING COMPLEX SUBUNIT 2|14:ANAPHASE-PROMOTING COMPLEX SUBUNIT 5|15:FUSION PROTEIN - UBIQUITIN-CONJUGATING ENZYME E2 C, UBIQUITIN-CONJUGATING ENZYME E2 S|16:THE ANAPHASE-PROMOTING COMPLEX CHAIN R|17:THE ANAPHASE-PROMOTING COMPLEX CHAIN T|18:THE ANAPHASE-PROMOTING COMPLEX CHAIN U|19:THE ANAPHASE-PROMOTING COMPLEX CHAIN V|20:ANAPHASE-PROMOTING COMPLEX SUBUNIT 7",2:Q9NYG5|3:Q9UJX2|4:P60006|5:Q96DE5|6:P30260|7:Q8NHZ8|8:Q9UJX5|9:Q13042|10:Q13042|11:Q9UM13|12:Q2NKV2|14:Q9UJX4|20:Q9UJX3,"15:2.3.2.23, 2.3.2.24, 2.3.2.23",UBE2C,ANAPC11,No
2C4P,P51668,,,1.0,X-ray refinement,2.35,10/21/2005,,1,1:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 D1,1:P51668,1:6.3.2.19,UBE2D1,,No
5L9U,O00762,Q9NYG5,,17.0,EM: FSC 0.143 CUT-OFF,6.4,6/11/2016,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|5:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|15:Saccharomyces cerevisiae|16:Homo sapiens|17:Homo sapiens,"1:ANAPC1, TSG24|2:ANAPC11, HSPC214|3:CDC23, ANAPC8|4:ANAPC15, C11orf51, HSPC020|5:ANAPC16, C10orf104, CENP-27|6:CDC27, ANAPC3, D0S1430E, D17S978E|7:CDC26, ANAPC12, C9orf17|8:ANAPC4, APC4|9:CDC16, ANAPC6|10:ANAPC10, APC10|11:ANAPC13|12:ANAPC2, APC2, KIAA1406|13:ANAPC5, APC5|14:FZR1, CDH1, FYR, FZR, KIAA1242|15:HSL1, YKL101W, YKL453|16:UBE2C, UBCH10|17:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:Anaphase-promoting complex subunit 11|3:Cell division cycle protein 23 homolog|4:Anaphase-promoting complex subunit 15|5:Anaphase-promoting complex subunit 16|6:Cell division cycle protein 27 homolog|7:Anaphase-promoting complex subunit CDC26|8:Anaphase-promoting complex subunit 4|9:Cell division cycle protein 16 homolog|10:Anaphase-promoting complex subunit 10|11:Anaphase-promoting complex subunit 13|12:Anaphase-promoting complex subunit 2|13:Anaphase-promoting complex subunit 5|14:Fizzy-related protein homolog|15:Hsl1(substrate)_peptide-Ubiquitin_variant fusion|16:Ubiquitin-conjugating enzyme E2 C|17:Anaphase-promoting complex subunit 7,"1:Q9H1A4|2:Q9NYG5|3:Q9UJX2|4:P60006|5:Q96DE5|6:P30260|7:Q8NHZ8|8:Q9UJX5|9:Q13042|10:Q9UM13|11:Q9BS18|12:Q9UJX6|13:Q9UJX4|14:Q9UM11|15:P34244,Q63429|16:O00762|17:Q9UJX3","15:2.7.11.1|16:2.3.2.23,2.3.2.24",UBE2C,ANAPC11,No
3PTF,P51668,,P0CG47,2.0,X-ray refinement,2.7,12/2/2010,,"1, 2",1:Homo sapiens|2:Homo Sapiens,"1:SFT, UBC5A, UBCH5, UBCH5A, UBE2D1|2:Ubiquitin",1:Ubiquitin-conjugating enzyme E2 D1|2:Polyubiquitin-B,1:P51668|2:P0CG47,1:6.3.2.19,UBE2D1,,Yes
6D4P,P51668,,,2.0,X-ray refinement,2.11,4/18/2018,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A",1:Ubiquitin-conjugating enzyme E2 D1|2:Ubiquitin Variant Ubv.D1.1,1:P51668|2:Q59EM9,"1:2.3.2.23,2.3.2.24",UBE2D1,,No
4QPL,P51668,,,2.0,X-ray refinement,1.9,6/23/2014,"2'-O-(5-O-phosphono-alpha-D-ribofuranosyl)adenosine 5'-(dihydrogen phosphate),ZINC ION","1, 2",1:Mus musculus|2:Homo sapiens,"1:Rnf146|2:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A",1:E3 ubiquitin-protein ligase RNF146|2:Ubiquitin-conjugating enzyme E2 D1,1:Q9CZW6|2:P51668,1:6.3.2.-|2:6.3.2.19,UBE2D1,,No
2YHO,P51668,Q8WY64,,2.0,X-ray refinement,2.1,5/4/2011,"ACETATE ION,ZINC ION","1, 2",1:HOMO SAPIENS|2:HOMO SAPIENS,,1:E3 UBIQUITIN-PROTEIN LIGASE MYLIP|2:UBIQUITIN-CONJUGATING ENZYME E2 D1,1:Q8WY64|2:P51668,1:6.3.2.-|2:6.3.2.19,UBE2D1,MYLIP,No
5TUT,P51668,,P0CG47,2.0,X-ray refinement,2.604,11/7/2016,,"1, 2",1:Homo sapiens|2:Homo sapiens,"1:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A|2:UBB",1:Ubiquitin-conjugating enzyme E2 D1|2:Ubiquitin,1:P51668|2:P0CG47,"1:2.3.2.23, 2.3.2.24",UBE2D1,,Yes
7ZJ3,P51668,Q9C040,P0CG48,3.0,X-ray refinement,2.53,4/8/2022,ZINC ION,"1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:TRIM2, KIAA0517, RNF86|2:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A|3:UBC",1:Tripartite motif-containing protein 2|2:Ubiquitin-conjugating enzyme E2 D1|3:Polyubiquitin-C,1:Q9C040|2:P51668|3:P0CG48,"1:2.3.2.27|2:2.3.2.23,2.3.2.24",UBE2D1,TRIM2,Yes
8TAU,"Q16763, O00762",Q9NYG5,,18.0,EM: FSC 0.143 CUT-OFF,3.5,6/27/2023,ZINC ION,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens|4:Homo sapiens|6:Homo sapiens|7:Homo sapiens|8:Homo sapiens|9:Homo sapiens|10:Homo sapiens|11:Homo sapiens|12:Homo sapiens|13:Homo sapiens|14:Homo sapiens|15:Homo sapiens|16:Homo sapiens|17:Homo sapiens|18:Homo sapiens,"1:ANAPC1|2:CCNB1, CCNB|3:ANAPC11, HSPC214|4:ANAPC15|6:CDC26, ANAPC12, C9orf17|7:ANAPC16, C10orf104, CENP-27|8:ANAPC4, APC4|9:CDC27, ANAPC3, D0S1430E, D17S978E|10:CDC16, ANAPC6|11:ANAPC10, APC10|12:ANAPC13|13:ANAPC2, APC2, KIAA1406|14:ANAPC5, APC5|15:UBE2C, UBCH10|16:FZR1|17:CDC23, ANAPC8|18:ANAPC7, APC7",1:Anaphase-promoting complex subunit 1|2:G2/mitotic-specific cyclin-B1|3:Anaphase-promoting complex subunit 11|4:Anaphase-promoting complex subunit 15|5:Ubiquitin-conjugating enzyme E2 S|6:Anaphase-promoting complex subunit CDC26|7:Anaphase-promoting complex subunit 16|8:Anaphase-promoting complex subunit 4|9:Cell division cycle protein 27 homolog|10:Cell division cycle protein 16 homolog|11:Anaphase-promoting complex subunit 10|12:Anaphase-promoting complex subunit 13|13:Anaphase-promoting complex subunit 2|14:Anaphase-promoting complex subunit 5|15:Ubiquitin-conjugating enzyme E2 C|16:Fizzy-related protein homolog|17:Cell division cycle protein 23 homolog|18:Anaphase-promoting complex subunit 7,1:Q9H1A4|2:P14635|3:Q9NYG5|4:P60006|5:Q16763|6:Q8NHZ8|7:Q96DE5|8:Q9UJX5|9:P30260|10:Q13042|11:Q9UM13|12:Q9BS18|13:Q9UJX6|14:Q9UJX4|15:O00762|16:Q9UM11|17:Q9UJX2|18:Q9UJX3,"5:2.3.2.23|15:2.3.2.23,2.3.2.24","UBE2S,UBE2C",ANAPC11,No
4AP4,P51668,,,3.0,X-ray refinement,2.21,3/30/2012,ZINC ION,"1, 2, 3",1:RATTUS NORVEGICUS|2:HOMO SAPIENS|3:HOMO SAPIENS,,1:E3 UBIQUITIN LIGASE RNF4|2:UBIQUITIN-CONJUGATING ENZYME E2 D1|3:UBIQUITIN C,1:O88846|2:P51668|3:F5H7Y5,1:6.3.2.-|2:6.3.2.19,UBE2D1,,No
3OJ4,P51668,,P0CG47,3.0,X-ray refinement,3.4,8/20/2010,ZINC ION,"1, 2, 3",1:Homo sapiens|2:Homo sapiens|3:Homo sapiens,"1:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A|2:UBB|3:TNFAIP3, OTUD7C",1:Ubiquitin-conjugating enzyme E2 D1|2:Ubiquitin|3:Tumor necrosis factor alpha-induced protein 3,1:P51668|2:P0CG47|3:P21580,1:6.3.2.19,UBE2D1,,Yes
5FER,P51668,Q14258,,3.0,X-ray refinement,2.34,12/17/2015,ZINC ION,"1, 2, 3",1:Homo sapiens|2:Homo sapiens,"1:TRIM25, EFP, RNF147, ZNF147|2:UBE2D1, SFT, UBC5A, UBCH5, UBCH5A",1:E3 ubiquitin/ISG15 ligase TRIM25|2:Ubiquitin-conjugating enzyme E2 D1|3:Ubiquitin-40S ribosomal protein S27a,1:Q14258|2:P51668|3:P62992,"1:6.3.2.-,2.3.2.27|2:2.3.2.23,2.3.2.24",UBE2D1,TRIM25,No
2ESK,P62837,,,1.0,X-ray refinement,1.36,10/26/2005,,1,1:Homo sapiens,"1:UBE2D2, UBC4, UBCH5B",1:Ubiquitin-conjugating enzyme E2 D2,1:P62837,1:6.3.2.19,UBE2D2,,No
2ESO,P62837,,,1.0,X-ray refinement,1.5,10/26/2005,,1,1:Homo sapiens,"1:UBE2D2, UBC4, UBCH5B",1:Ubiquitin-conjugating enzyme E2 D2,1:P62837,1:6.3.2.19,UBE2D2,,No
2ESQ,P62837,,,1.0,X-ray refinement,1.44,10/26/2005,,1,1:Homo sapiens,"1:UBE2D2, UBC4, UBCH5B",1:Ubiquitin-conjugating enzyme E2 D2,1:P62837,1:6.3.2.19,UBE2D2,,No
3L1Y,P62837,,,1.0,X-ray refinement,1.6,12/14/2009,,1,1:Homo sapiens,"1:UBE2D2, UBC4, UBCH5B",1:Ubiquitin-conjugating enzyme E2 D2,1:P62837,1:6.3.2.19,UBE2D2,,No
2CLW,P62837,,,2.0,X-ray refinement,1.945,5/2/2006,"GLYCEROL,SULFATE ION","1, 2",1:HOMO SAPIENS|2:HOMO SAPIENS,,1:UBIQUITIN-CONJUGATING ENZYME E2 D2|2:UBIQUITIN-CONJUGATING ENZYME E2 D2,1:P62837|2:P62837,1:6.3.2.19|2:6.3.2.19,UBE2D2,,No
3TGD,P62837,,,1.0,X-ray refinement,1.8,8/17/2011,,1,1:Homo sapiens,"1:UBC4, UBC5B, UBCH4, UBCH5B, UBE2D2",1:Ubiquitin-conjugating enzyme E2 D2,1:P62837,1:6.3.2.19,UBE2D2,,No
