PDB_ID,Entry_ID,Number_of_Distinct_Protein_Entities,Refinement_Resolution,Resolution_Method,Release_Date,E2_UniProtIDs,E2_Gene_Names,E3_UniProtIDs,E3_Gene_Names,ubiquitin_in_structure,Nonpolymer_Entities,Entity_ID,Source_Organism,Gene_Name,Macromolecule_Name,Accession_Codes,EC_Number,Polymer_Type
13SP,13SP,1,1.69,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SQ,13SQ,1,1.301,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SR,13SR,1,1.65,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SS,13SS,1,1.689,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13ST,13ST,1,1.37,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SU,13SU,1,1.502,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SV,13SV,1,1.68,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SW,13SW,1,1.371,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SX,13SX,1,1.36,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SY,13SY,1,1.291,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13SZ,13SZ,1,1.49,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13TA,13TA,1,1.509,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
13TB,13TB,1,1.55,X-ray,2025-12-10,,,Q8WY64,MYLIP,,,1,1:Homo sapiens,"1:MYLIP, BZF1, IDOL, BM-023, PP5242",1:E3 ubiquitin-protein ligase MYLIP,1:Q8WY64,,1:polypeptide(L)
1A3S,1A3S,1,2.8,X-ray,1998-05-27,P63279,UBE2I,,,,,1,1:Homo sapiens,,1:UBC9,1:P63279,,1:polypeptide(L)
1B47,1B47,1,2.2,X-ray,1999-04-27,,,P22681,CBL,,,1,1:Homo sapiens,,1:CBL,1:P22681,,1:polypeptide(L)
1BOR,1BOR,1,,NMR,1997-04-01,,,P29590,PML,,,1,1:Homo sapiens,,1:TRANSCRIPTION FACTOR PML,1:P29590,,1:polypeptide(L)
1C4Z,1C4Z,2,2.6,X-ray,1999-11-17,P68036,UBE2L3,Q05086,UBE3A,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:UBIQUITIN-PROTEIN LIGASE E3A,2:UBIQUITIN CONJUGATING ENZYME E2","1:Q05086,2:P68036",,"1:polypeptide(L),2:polypeptide(L)"
1C9Q,1C9Q,1,,NMR,2000-08-09,,,P98170,XIAP,,,1,1:Homo sapiens,,1:APOPTOSIS INHIBITOR IAP HOMOLOG,1:P98170,,1:polypeptide(L)
1CA4,1CA4,1,2.2,X-ray,1999-04-12,,,Q12933,TRAF2,,,1,1:Homo sapiens,,1:PROTEIN (TNF RECEPTOR ASSOCIATED FACTOR 2),1:Q12933,,1:polypeptide(L)
1CA9,1CA9,2,2.3,X-ray,1999-04-12,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:PROTEIN (TNF RECEPTOR ASSOCIATED FACTOR 2),2:PROTEIN (TNF-R2)","1:Q12933,2:P20333",,"1:polypeptide(L),2:polypeptide(L)"
1CZY,1CZY,2,2.0,X-ray,2000-03-08,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED PROTEIN 2,2:LATENT MEMBRANE PROTEIN 1","1:Q12933,2:P03230",,"1:polypeptide(L),2:polypeptide(L)"
1CZZ,1CZZ,2,2.7,X-ray,2000-03-08,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED PROTEIN 2,2:CD 40 PEPTIDE","1:Q12933,2:P25942",,"1:polypeptide(L),2:polypeptide(L)"
1D00,1D00,2,2.0,X-ray,2000-03-29,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED PROTEIN 2,2:B-CELL SURFACE ANTIGEN CD40","1:Q12933,2:P25942",,"1:polypeptide(L),2:polypeptide(L)"
1D01,1D01,2,2.0,X-ray,2003-12-02,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED FACTOR 2,2:CD30 PEPTIDE","1:Q12933,2:P28908",,"1:polypeptide(L),2:polypeptide(L)"
1D0A,1D0A,2,2.0,X-ray,2000-03-08,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED PROTEIN 2,2:OX40L RECEPTOR PEPTIDE","1:Q12933,2:P43489",,"1:polypeptide(L),2:polypeptide(L)"
1D0J,1D0J,2,2.5,X-ray,2000-03-08,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TUMOR NECROSIS FACTOR RECEPTOR ASSOCIATED PROTEIN 2,2:4-1BB LIGAND RECEPTOR","1:Q12933,2:P20334",,"1:polypeptide(L),2:polypeptide(L)"
1D5F,1D5F,1,2.8,X-ray,1999-11-17,,,Q05086,UBE3A,,,1,1:Homo sapiens,,"1:E6AP HECT CATALYTIC DOMAIN, E3 LIGASE",1:Q05086,,1:polypeptide(L)
1E4U,1E4U,1,,NMR,2001-03-31,,,O95628,CNOT4,,,1,1:Homo sapiens,,1:TRANSCRIPTIONAL REPRESSOR NOT4,1:O95628,,1:polypeptide(L)
1EQX,1EQX,1,,NMR,2001-02-28,,,Q05086,UBE3A,,,1,1:Homo sapiens,,1:PAPILLOMAVIRUS E6-ASSOCIATED PROTEIN,1:Q05086,,1:polypeptide(L)
1F3V,1F3V,2,2.0,X-ray,2000-09-06,,,Q12933,TRAF2,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:TUMOR NECROSIS FACTOR RECEPTOR TYPE 1 ASSOCIATED DEATH DOMAIN PROTEIN,2:TUMOR NECROSIS FACTOR RECEPTOR-ASSOCIATED PROTEIN","1:Q15628,2:Q12933",,"1:polypeptide(L),2:polypeptide(L)"
1F9X,1F9X,1,,NMR,2001-07-11,,,P98170,XIAP,,,1,1:Homo sapiens,,1:INHIBITOR OF APOPTOSIS PROTEIN XIAP,1:P98170,,1:polypeptide(L)
1FBV,1FBV,3,2.9,X-ray,2000-08-30,P68036,UBE2L3,P22681,CBL,,,"1,2,3","1:Homo sapiens,3:Homo sapiens",,"1:SIGNAL TRANSDUCTION PROTEIN CBL,2:ZAP-70 PEPTIDE,3:UBIQUITIN-CONJUGATING ENZYME E12-18 KDA UBCH7","1:P22681,2:P43403,3:P68036",,"1:polypeptide(L),2:polypeptide(L),3:polypeptide(L)"
1FLK,1FLK,1,2.8,X-ray,2000-10-18,,,Q13114,TRAF3,,,1,1:Homo sapiens,,1:TNF RECEPTOR ASSOCIATED FACTOR 3,1:Q13114,,1:polypeptide(L)
1FLL,1FLL,2,3.5,X-ray,2000-10-18,,,Q13114,TRAF3,,,"1,2",1:Homo sapiens,,"1:TNF RECEPTOR ASSOCIATED FACTOR 3,2:B-CELL SURFACE ANTIGEN CD40","1:Q13114,2:P25942",,"1:polypeptide(L),2:polypeptide(L)"
1FP0,1FP0,1,,NMR,2001-01-24,,,Q13263,TRIM28,,,1,1:Homo sapiens,,1:KAP-1 COREPRESSOR,1:Q13263,,1:polypeptide(L)
1G25,1G25,1,,NMR,2000-11-01,,,P51948,MNAT1,,,1,1:Homo sapiens,1:MAT1,1:CDK-ACTIVATING KINASE ASSEMBLY FACTOR MAT1,1:P51948,,1:polypeptide(L)
1G3F,1G3F,2,,NMR,2001-01-10,,,P98170,XIAP,,,"1,2",1:Homo sapiens,,"1:INHIBITOR OF APOPTOSIS PROTEIN 3,2:SMAC","1:P98170,2:Q9NR28",,"1:polypeptide(L),2:polypeptide(L)"
1G73,1G73,2,2.0,X-ray,2001-01-10,,,P98170,XIAP,,,"1,2","1:Homo sapiens,2:Homo sapiens",1:SMAC,"1:SECOND MITOCHONDRIA-DERIVED ACTIVATOR OF CASPASES,2:INHIBITORS OF APOPTOSIS-LIKE PROTEIN ILP","1:Q9NR28,2:P98170",,"1:polypeptide(L),2:polypeptide(L)"
1I2T,1I2T,1,1.04,X-ray,2001-04-18,,,O95071,UBR5,,,1,1:Homo sapiens,1:HYD,1:HYD PROTEIN,1:O95071,,1:polypeptide(L)
1I3O,1I3O,3,2.7,X-ray,2001-03-21,,,P98170,XIAP,,,"1,2,3","1:Homo sapiens,2:Homo sapiens,3:Homo sapiens","1:I39005,2:I39005,3:U32974","1:CASPASE 3,2:CASPASE 3,3:BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4","1:P42574,2:P42574,3:P98170",,"1:polypeptide(L),2:polypeptide(L),3:polypeptide(L)"
1I4O,1I4O,2,2.4,X-ray,2001-03-21,,,P98170,XIAP,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:CASPASE-7,2:BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4","1:P55210,2:P98170",,"1:polypeptide(L),2:polypeptide(L)"
1I51,1I51,3,2.45,X-ray,2002-02-23,,,P98170,XIAP,,,"1,2,3","1:Homo sapiens,2:Homo sapiens,3:Homo sapiens","1:CASP7,2:CASP7,3:XIAP","1:CASPASE-7 SUBUNIT P20,2:CASPASE-7 SUBUNIT P11,3:X-LINKED INHIBITOR OF APOPTOSIS PROTEIN","1:P55210,2:P55210,3:P98170",,"1:polypeptide(L),2:polypeptide(L),3:polypeptide(L)"
1I7K,1I7K,1,1.95,X-ray,2001-04-04,O00762,UBE2C,,,,,1,1:Homo sapiens,1:UBCH10,1:UBIQUITIN-CONJUGATING ENZYME E2 H10,1:O00762,,1:polypeptide(L)
1IYF,1IYF,1,,NMR,2003-03-25,,,O60260,PRKN,,,1,1:Homo sapiens,,1:parkin,1:O60260,,1:polypeptide(L)
1J74,1J74,1,1.9,X-ray,2001-08-08,Q15819,UBE2V2,,,,,1,1:Homo sapiens,,1:MMS2,1:Q15819,,1:polypeptide(L)
1J7D,1J7D,2,1.85,X-ray,2001-08-08,"P61088,Q15819","UBE2N,UBE2V2",,,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:MMS2,2:UBIQUITIN-CONJUGATING ENZYME E2-17 KDA","1:Q15819,2:P61088",,"1:polypeptide(L),2:polypeptide(L)"
1JAS,1JAS,1,,NMR,2003-09-09,P63146,UBE2B,,,,,1,1:Homo sapiens,,1:UBIQUITIN-CONJUGATING ENZYME E2-17 KDA,1:P63146,,1:polypeptide(L)
1JM7,1JM7,2,,NMR,2001-10-03,,,"P38398,Q99728","BARD1,BRCA1",,,"1,2","1:Homo sapiens,2:Homo sapiens","1:BRCA1,2:BARD1","1:BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,2:BRCA1-ASSOCIATED RING DOMAIN PROTEIN 1","1:P38398,2:Q99728",,"1:polypeptide(L),2:polypeptide(L)"
1JNX,1JNX,1,2.5,X-ray,2001-09-21,,,P38398,BRCA1,,,1,1:Homo sapiens,1:BRCA1,1:BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,1:P38398,,1:polypeptide(L)
1JSP,1JSP,2,,NMR,2002-08-17,,,Q92793,CREBBP,,,"1,2",2:Homo sapiens,,"1:tumor protein p53,2:CREB-BINDING PROTEIN","1:P04637,2:Q92793",,"1:polypeptide(L),2:polypeptide(L)"
1KMC,1KMC,2,2.9,X-ray,2002-01-16,,,P98170,XIAP,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:Caspase-7,2:X-LINKED INHIBITOR OF APOPTOSIS PROTEIN","1:P55210,2:P98170",,"1:polypeptide(L),2:polypeptide(L)"
1KPS,1KPS,2,2.5,X-ray,2002-02-13,P63279,UBE2I,,,,,"1,2","1:Homo sapiens,2:Mus musculus","1:UBC9,2:RANGAP1","1:Ubiquitin-like protein SUMO-1 conjugating enzyme,2:Ran-GTPase activating protein 1","1:P63279,2:P46061",,"1:polypeptide(L),2:polypeptide(L)"
1KZZ,1KZZ,2,3.5,X-ray,2002-04-10,,,Q13114,TRAF3,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:TNF receptor associated factor 3,2:TRAF family member-associated NF-kappa-b activator","1:Q13114,2:Q92844",,"1:polypeptide(L),2:polypeptide(L)"
1L0A,1L0A,2,2.9,X-ray,2002-04-10,,,Q13114,TRAF3,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:TNF receptor associated factor 3,2:TRAF family member-associated NF-kappa-b activator","1:Q13114,2:Q92844",,"1:polypeptide(L),2:polypeptide(L)"
1L3E,1L3E,2,,NMR,2002-04-24,,,Q09472,EP300,,,"1,2","1:Homo sapiens,2:Homo sapiens","1:hypoxia inducible factor-1 alpha,2:p300","1:hypoxia inducible factor-1 alpha subunit,2:p300 protein","1:Q16665,2:Q09472",,"1:polypeptide(L),2:polypeptide(L)"
1LB4,1LB4,1,2.4,X-ray,2002-07-31,,,Q9Y4K3,TRAF6,,,1,1:Homo sapiens,1:TRAF6,1:TNF receptor-associated factor 6,1:Q9Y4K3,,1:polypeptide(L)
1LB5,1LB5,2,2.4,X-ray,2002-07-31,,,Q9Y4K3,TRAF6,,,"1,2","1:Homo sapiens,2:Homo sapiens","1:TRAF6,2:RANK","1:TNF receptor-associated factor 6,2:receptor activator of nuclear factor-kappa B","1:Q9Y4K3,2:Q9Y6Q6",,"1:polypeptide(L),2:polypeptide(L)"
1LB6,1LB6,2,1.8,X-ray,2002-07-31,,,Q9Y4K3,TRAF6,,,"1,2","1:Homo sapiens,2:Homo sapiens","1:TRAF6,2:CD40","1:TNF receptor-associated factor 6,2:CD40 antigen","1:Q9Y4K3,2:P25942",,"1:polypeptide(L),2:polypeptide(L)"
1LDJ,1LDJ,2,3.0,X-ray,2002-05-08,,,P62877,RBX1,,,"1,2","1:Homo sapiens,2:Homo sapiens",,"1:Cullin homolog 1,2:ring-box protein 1","1:Q13616,2:P62877",,"1:polypeptide(L),2:polypeptide(L)"
1LDK,1LDK,5,3.1,X-ray,2002-05-08,,,P62877,RBX1,,,"1,2,3,4,5","1:Homo sapiens,2:Homo sapiens,3:Homo sapiens,4:Homo sapiens,5:Homo sapiens",,"1:CULLIN HOMOLOG,2:CULLIN HOMOLOG,3:ring-box protein 1,4:CYCLIN A/CDK2-ASSOCIATED PROTEIN P19,5:SKP2-like protein type gamma","1:Q13616,2:Q13616,3:P62877,4:P63208,5:Q13309",,"1:polypeptide(L),2:polypeptide(L),3:polypeptide(L),4:polypeptide(L),5:polypeptide(L)"
1LGP,1LGP,1,2.0,X-ray,2002-05-08,,,Q96EP1,CHFR,,,1,1:Homo sapiens,,1:cell cycle checkpoint protein CHFR,1:Q96EP1,,1:polypeptide(L)
1LGQ,1LGQ,1,2.1,X-ray,2002-05-08,,,Q96EP1,CHFR,,,1,1:Homo sapiens,,1:cell cycle checkpoint protein CHFR,1:Q96EP1,,1:polypeptide(L)
1LIQ,1LIQ,1,,NMR,2002-05-29,,,Q92793,CREBBP,,,1,,,1:CREB Binding Protein,1:Q92793,,1:polypeptide(L)
1N5O,1N5O,1,2.8,X-ray,2002-12-25,,,P38398,BRCA1,,,1,1:Homo sapiens,1:BRCA1,1:Breast cancer type 1 susceptibility protein,1:P38398,,1:polypeptide(L)
1ND7,1ND7,1,2.1,X-ray,2003-09-23,,,Q9H0M0,WWP1,,,1,1:Homo sapiens,1:WWP1,1:WW domain-containing protein 1,1:Q9H0M0,,1:polypeptide(L)
1NW9,1NW9,2,2.4,X-ray,2003-03-25,,,P98170,XIAP,,,"1,2","1:Homo sapiens,2:Homo sapiens",1:BIRC4 OR API3 OR IAP3 OR XIAP,"1:Baculoviral IAP repeat-containing protein 4,2:caspase 9, apoptosis-related cysteine protease","1:P98170,2:P55211",,"1:polypeptide(L),2:polypeptide(L)"
1OQA,1OQA,1,,NMR,2004-06-15,,,P38398,BRCA1,,,1,1:Homo sapiens,1:BRCA1,1:Breast cancer type 1 susceptibility protein,1:P38398,,1:polypeptide(L)
1OXN,1OXN,2,2.2,X-ray,2003-08-26,,,Q96CA5,BIRC7,,,"1,2",1:Homo sapiens,1:BIRC7 OR KIAP OR MLIAP OR LIVIN,"1:Baculoviral IAP repeat-containing protein 7,2:AEAVPWKSE peptide",1:Q96CA5,,"1:polypeptide(L),2:polypeptide(L)"
1OXQ,1OXQ,2,2.3,X-ray,2003-08-26,,,Q96CA5,BIRC7,,,"1,2",1:Homo sapiens,1:BIRC7 OR KIAP OR MLIAP OR LIVIN,"1:Baculoviral IAP repeat-containing protein 7,2:AVPIAQKSE (Smac) peptide","1:Q96CA5,2:Q9NR28",,"1:polypeptide(L),2:polypeptide(L)"
1OY7,1OY7,2,2.7,X-ray,2003-08-26,,,Q96CA5,BIRC7,,,"1,2",1:Homo sapiens,1:BIRC7 OR KIAP OR MLIAP OR LIVIN,"1:Baculoviral IAP repeat-containing protein 7,2:AEVVAVKSE peptide",1:Q96CA5,,"1:polypeptide(L),2:polypeptide(L)"
1P4Q,1P4Q,2,,NMR,2003-07-01,,,Q09472,EP300,,,"1,2","1:Homo sapiens,2:Homo sapiens","1:CITED2 OR MRG1,2:EP300 OR P300","1:Cbp/p300-interacting transactivator 2,2:E1A-associated protein p300","1:Q99967,2:Q09472",,"1:polypeptide(L),2:polypeptide(L)"
1Q02,1Q02,1,,NMR,2003-09-30,,,Q13501,SQSTM1,,,1,1:Homo sapiens,,1:sequestosome 1,1:Q13501,,1:polypeptide(L)
1QBH,1QBH,1,,NMR,1999-10-20,,,Q13490,BIRC2,,,1,1:Homo sapiens,,1:INHIBITOR OF APOPTOSIS PROTEIN (2MIHB/C-IAP-1),1:Q13490,,1:polypeptide(L)
1QSC,1QSC,2,2.4,X-ray,1999-08-01,,,Q12933,TRAF2,,,"1,2",1:Homo sapiens,,"1:TNF RECEPTOR ASSOCIATED FACTOR 2,2:CD40 RECEPTOR",1:Q12933,,"1:polypeptide(L),2:polypeptide(L)"
1RDT,1RDT,4,2.4,X-ray,2004-11-09,,,Q92793,CREBBP,,,"1,2,3,4","1:Homo sapiens,2:Homo sapiens,3:Homo sapiens,4:Homo sapiens","1:RXRA, NR2B1,3:PPARG, NR1C3","1:Retinoic acid receptor RXR-alpha,2:LxxLL motif coactivator,3:Peroxisome proliferator activated receptor gamma,4:LxxLL motif coactivator","1:P19793,2:Q15788,3:P37231,4:Q92793",,"1:polypeptide(L),2:polypeptide(L),3:polypeptide(L),4:polypeptide(L)"
1RF3,1RF3,2,3.5,X-ray,2004-07-06,,,Q13114,TRAF3,,,"1,2",1:Homo sapiens,1:TRAF3 OR CRAF1 OR CAP1,"1:TNF receptor associated factor 3,2:24-residue peptide from Lymphotoxin-B Receptor","1:Q13114,2:P36941",,"1:polypeptide(L),2:polypeptide(L)"
1RV1,1RV1,1,2.3,X-ray,2004-01-20,,,Q00987,MDM2,,,1,1:Homo sapiens,1:MDM2,1:Ubiquitin-protein ligase E3 Mdm2,1:Q00987,,1:polypeptide(L)
1T15,1T15,2,1.85,X-ray,2004-05-11,,,P38398,BRCA1,,,"1,2","1:Homo sapiens,2:Homo sapiens",1:BRCA1,"1:Breast cancer type 1 susceptibility protein,2:BRCA1 interacting protein C-terminal helicase 1","1:P38398,2:Q9BX63",,"1:polypeptide(L),2:polypeptide(L)"
1T29,1T29,2,2.3,X-ray,2004-05-11,,,P38398,BRCA1,,,"1,2",1:Homo sapiens,,"1:Breast cancer type 1 susceptibility protein,2:BACH1 phosphorylated peptide","1:P38398,2:Q9BX63",,"1:polypeptide(L),2:polypeptide(L)"
1T2U,1T2U,1,2.8,X-ray,2004-05-11,,,P38398,BRCA1,,,1,1:Homo sapiens,1:BRCA1,1:Breast cancer type 1 susceptibility protein,1:P38398,,1:polypeptide(L)
1T2V,1T2V,2,3.3,X-ray,2004-05-11,,,P38398,BRCA1,,,"1,2",1:Homo sapiens,1:BRCA1,"1:Breast cancer type 1 susceptibility protein,2:BRCTide-7PS",1:P38398,,"1:polypeptide(L),2:polypeptide(L)"
1T4E,1T4E,1,2.6,X-ray,2005-02-08,,,Q00987,MDM2,,,1,1:Homo sapiens,1:MDM2,1:Ubiquitin-protein ligase E3 Mdm2,1:Q00987,,1:polypeptide(L)
1T4F,1T4F,2,1.9,X-ray,2005-02-08,,,Q00987,MDM2,,,"1,2",1:Homo sapiens,1:MDM2,"1:Ubiquitin-protein ligase E3 Mdm2,2:optimized p53 peptide",1:Q00987,,"1:polypeptide(L),2:polypeptide(L)"
1TFQ,1TFQ,1,,NMR,2004-09-07,,,P98170,XIAP,,,1,1:Homo sapiens,"1:BIRC4, API3, IAP3, XIAP",1:Baculoviral IAP repeat-containing protein 4,1:P98170,,1:polypeptide(L)
1TFT,1TFT,1,,NMR,2005-05-03,,,P98170,XIAP,,,1,1:Homo sapiens,"1:BIRC4, API3, IAP3, XIAP",1:Baculoviral IAP repeat-containing protein 4,1:P98170,,1:polypeptide(L)
